field.Element:Text;field.Attribute:name;Attribute:type;TargetTrialID
5078;index;DialogTableEntry;#VALEUR!
"Objective: ≺Singular/Plural Choice (Parameter 0)≻[Monster/Monsters] of the lizard family: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Weather/Day: ≺Multiple Choice (Parameter 5)≻[≺BAD CHAR: EF≻≺Possible Special Code: 1F≻/≺Element: Ice≻/≺Element: Air≻/≺Element: Earth≻/≺Element: Thunder≻/≺Element: Water≻/≺Element: Light≻/≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Air≻≺Element: Thunder≻≺Element: Light≻/≺Element: Ice≻≺Element: Earth≻≺Element: Water≻≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Ice≻≺Element: Air≻≺Element: Earth≻≺Element: Thunder≻≺Element: Water≻≺Element: Light≻≺Element: Dark≻].
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2660
5079;index;DialogTableEntry;#VALEUR!
"Objective: ≺Singular/Plural Choice (Parameter 0)≻[Monster/Monsters] of the bird family: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Weather/Day: ≺Multiple Choice (Parameter 5)≻[≺BAD CHAR: EF≻≺Possible Special Code: 1F≻/≺Element: Ice≻/≺Element: Air≻/≺Element: Earth≻/≺Element: Thunder≻/≺Element: Water≻/≺Element: Light≻/≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Air≻≺Element: Thunder≻≺Element: Light≻/≺Element: Ice≻≺Element: Earth≻≺Element: Water≻≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Ice≻≺Element: Air≻≺Element: Earth≻≺Element: Thunder≻≺Element: Water≻≺Element: Light≻≺Element: Dark≻].
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2662
5080;index;DialogTableEntry;#VALEUR!
"Objective: ≺Singular/Plural Choice (Parameter 0)≻[Monster/Monsters] of the rabbit family: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Attack: ≺Multiple Choice (Parameter 6)≻[Fire/Ice/Wind/Earth/Thunder/Water/Light/Darkness] damage of ≺Numeric Parameter 5≻ ≺Singular/Plural Choice (Parameter 5)≻[point/points] or greater.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2662
5081;index;DialogTableEntry;#VALEUR!
"Objective: ≺Singular/Plural Choice (Parameter 0)≻[Monster/Monsters] of the lizard family: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Attack: ≺Multiple Choice (Parameter 6)≻[Fire/Ice/Wind/Earth/Thunder/Water/Light/Darkness] damage of ≺Numeric Parameter 5≻ ≺Singular/Plural Choice (Parameter 5)≻[point/points] or greater.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2663
5082;index;DialogTableEntry;#VALEUR!
"Objective: ≺Singular/Plural Choice (Parameter 0)≻[Monster/Monsters] of the magic pot family: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Monster's status: A ≺Multiple Choice (Parameter 5)≻[fire/ice/wind/earth/thunder/water/light/darkness]-based status ailment.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2664
5083;index;DialogTableEntry;#VALEUR!
"Objective: ≺Singular/Plural Choice (Parameter 0)≻[Monster/Monsters] of the tiger family: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Monster's status: A ≺Multiple Choice (Parameter 5)≻[fire/ice/wind/earth/thunder/water/light/darkness]-based status ailment.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2665
5084;index;DialogTableEntry;#VALEUR!
"Objective: ≺Singular/Plural Choice (Parameter 0)≻[Monster/Monsters] of the worm family: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Avatar: ≺Multiple Choice (Parameter 5)≻[Carbuncle/Fenrir/Ifrit/Titan/Leviathan/Garuda/Shiva/Ramuh/Diabolos].
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2667
5085;index;DialogTableEntry;#VALEUR!
"Objective: ≺Singular/Plural Choice (Parameter 0)≻[Monster/Monsters] of the crawler family: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Avatar: ≺Multiple Choice (Parameter 5)≻[Carbuncle/Fenrir/Ifrit/Titan/Leviathan/Garuda/Shiva/Ramuh/Diabolos].
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2667
5086;index;DialogTableEntry;#VALEUR!
"Objective: Trigger the additional effect of the ≺Possible Special Code: 01≻≺Possible Special Code: 05≻#ｅ≺BAD CHAR: 80≻≺BAD CHAR: 80≻ / Times: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Enemy: Monsters of the spider family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2668
5087;index;DialogTableEntry;#VALEUR!
"Objective: Trigger the additional effect of the ≺Possible Special Code: 01≻≺Possible Special Code: 05≻#ｅ≺BAD CHAR: 80≻≺BAD CHAR: 80≻ / Times: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Enemy: Monsters of the colibri family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2669
5088;index;DialogTableEntry;#VALEUR!
"Objective: Trigger the additional effect of the ≺Possible Special Code: 01≻≺Possible Special Code: 05≻#ｅ≺BAD CHAR: 80≻≺BAD CHAR: 80≻ / Times: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Enemy: Monsters of the skeleton family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2670
5089;index;DialogTableEntry;#VALEUR!
"Objective: Trigger the additional effect of the ≺Possible Special Code: 01≻≺Possible Special Code: 05≻#ｅ≺BAD CHAR: 80≻≺BAD CHAR: 80≻ / Times: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Enemy: Monsters of the bomb family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2672
5090;index;DialogTableEntry;#VALEUR!
"Objective: Trigger the additional effect of the ≺Possible Special Code: 01≻≺Possible Special Code: 05≻#ｅ≺BAD CHAR: 80≻≺BAD CHAR: 80≻ / Times: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Enemy: Monsters of the sea monk family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2672
5091;index;DialogTableEntry;#VALEUR!
"Objective: Trigger the additional effect of the ≺Possible Special Code: 01≻≺Possible Special Code: 05≻#ｅ≺BAD CHAR: 80≻≺BAD CHAR: 80≻ / Times: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Enemy: Monsters of the funguar family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2673
5092;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻ plantoid-type creature≺Singular/Plural Choice (Parameter 0)≻[/s].
Weather/Day: ≺Multiple Choice (Parameter 5)≻[≺BAD CHAR: EF≻≺Possible Special Code: 1F≻/≺Element: Ice≻/≺Element: Air≻/≺Element: Earth≻/≺Element: Thunder≻/≺Element: Water≻/≺Element: Light≻/≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Air≻≺Element: Thunder≻≺Element: Light≻/≺Element: Ice≻≺Element: Earth≻≺Element: Water≻≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Ice≻≺Element: Air≻≺Element: Earth≻≺Element: Thunder≻≺Element: Water≻≺Element: Light≻≺Element: Dark≻].
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2674
5093;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻ vermin-type creature≺Singular/Plural Choice (Parameter 0)≻[/s].
Weather/Day: ≺Multiple Choice (Parameter 5)≻[≺BAD CHAR: EF≻≺Possible Special Code: 1F≻/≺Element: Ice≻/≺Element: Air≻/≺Element: Earth≻/≺Element: Thunder≻/≺Element: Water≻/≺Element: Light≻/≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Air≻≺Element: Thunder≻≺Element: Light≻/≺Element: Ice≻≺Element: Earth≻≺Element: Water≻≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Ice≻≺Element: Air≻≺Element: Earth≻≺Element: Thunder≻≺Element: Water≻≺Element: Light≻≺Element: Dark≻].
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2675
5094;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻ bird-type creature≺Singular/Plural Choice (Parameter 0)≻[/s].
Weather/Day: ≺Multiple Choice (Parameter 5)≻[≺BAD CHAR: EF≻≺Possible Special Code: 1F≻/≺Element: Ice≻/≺Element: Air≻/≺Element: Earth≻/≺Element: Thunder≻/≺Element: Water≻/≺Element: Light≻/≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Air≻≺Element: Thunder≻≺Element: Light≻/≺Element: Ice≻≺Element: Earth≻≺Element: Water≻≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Ice≻≺Element: Air≻≺Element: Earth≻≺Element: Thunder≻≺Element: Water≻≺Element: Light≻≺Element: Dark≻].
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2677
5095;index;DialogTableEntry;#VALEUR!
"Objective: ≺Singular/Plural Choice (Parameter 0)≻[Monster/Monsters] of the evil weapon family: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Weather/Day: ≺Multiple Choice (Parameter 5)≻[≺BAD CHAR: EF≻≺Possible Special Code: 1F≻/≺Element: Ice≻/≺Element: Air≻/≺Element: Earth≻/≺Element: Thunder≻/≺Element: Water≻/≺Element: Light≻/≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Air≻≺Element: Thunder≻≺Element: Light≻/≺Element: Ice≻≺Element: Earth≻≺Element: Water≻≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Ice≻≺Element: Air≻≺Element: Earth≻≺Element: Thunder≻≺Element: Water≻≺Element: Light≻≺Element: Dark≻].
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2677
5096;index;DialogTableEntry;#VALEUR!
"Objective: ≺Singular/Plural Choice (Parameter 0)≻[Monster/Monsters] of the doll family: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Weather/Day: ≺Multiple Choice (Parameter 5)≻[≺BAD CHAR: EF≻≺Possible Special Code: 1F≻/≺Element: Ice≻/≺Element: Air≻/≺Element: Earth≻/≺Element: Thunder≻/≺Element: Water≻/≺Element: Light≻/≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Air≻≺Element: Thunder≻≺Element: Light≻/≺Element: Ice≻≺Element: Earth≻≺Element: Water≻≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Ice≻≺Element: Air≻≺Element: Earth≻≺Element: Thunder≻≺Element: Water≻≺Element: Light≻≺Element: Dark≻].
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2678
5097;index;DialogTableEntry;#VALEUR!
"Objective: ≺Singular/Plural Choice (Parameter 0)≻[Monster/Monsters] of the magic pot family: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Weather/Day: ≺Multiple Choice (Parameter 5)≻[≺BAD CHAR: EF≻≺Possible Special Code: 1F≻/≺Element: Ice≻/≺Element: Air≻/≺Element: Earth≻/≺Element: Thunder≻/≺Element: Water≻/≺Element: Light≻/≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Air≻≺Element: Thunder≻≺Element: Light≻/≺Element: Ice≻≺Element: Earth≻≺Element: Water≻≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Ice≻≺Element: Air≻≺Element: Earth≻≺Element: Thunder≻≺Element: Water≻≺Element: Light≻≺Element: Dark≻].
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2679
5098;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻ plantoid-type creature≺Singular/Plural Choice (Parameter 0)≻[/s].
Weather/Day: ≺Multiple Choice (Parameter 5)≻[≺BAD CHAR: EF≻≺Possible Special Code: 1F≻/≺Element: Ice≻/≺Element: Air≻/≺Element: Earth≻/≺Element: Thunder≻/≺Element: Water≻/≺Element: Light≻/≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Air≻≺Element: Thunder≻≺Element: Light≻/≺Element: Ice≻≺Element: Earth≻≺Element: Water≻≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Ice≻≺Element: Air≻≺Element: Earth≻≺Element: Thunder≻≺Element: Water≻≺Element: Light≻≺Element: Dark≻].
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2680
5099;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻ vermin-type creature≺Singular/Plural Choice (Parameter 0)≻[/s].
Weather/Day: ≺Multiple Choice (Parameter 5)≻[≺BAD CHAR: EF≻≺Possible Special Code: 1F≻/≺Element: Ice≻/≺Element: Air≻/≺Element: Earth≻/≺Element: Thunder≻/≺Element: Water≻/≺Element: Light≻/≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Air≻≺Element: Thunder≻≺Element: Light≻/≺Element: Ice≻≺Element: Earth≻≺Element: Water≻≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Ice≻≺Element: Air≻≺Element: Earth≻≺Element: Thunder≻≺Element: Water≻≺Element: Light≻≺Element: Dark≻].
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2682
5100;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻ bird-type creature≺Singular/Plural Choice (Parameter 0)≻[/s].
Weather/Day: ≺Multiple Choice (Parameter 5)≻[≺BAD CHAR: EF≻≺Possible Special Code: 1F≻/≺Element: Ice≻/≺Element: Air≻/≺Element: Earth≻/≺Element: Thunder≻/≺Element: Water≻/≺Element: Light≻/≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Air≻≺Element: Thunder≻≺Element: Light≻/≺Element: Ice≻≺Element: Earth≻≺Element: Water≻≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Ice≻≺Element: Air≻≺Element: Earth≻≺Element: Thunder≻≺Element: Water≻≺Element: Light≻≺Element: Dark≻].
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2682
5101;index;DialogTableEntry;#VALEUR!
"Objective: ≺Singular/Plural Choice (Parameter 0)≻[Monster/Monsters] of the evil weapon family: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Weather/Day: ≺Multiple Choice (Parameter 5)≻[≺BAD CHAR: EF≻≺Possible Special Code: 1F≻/≺Element: Ice≻/≺Element: Air≻/≺Element: Earth≻/≺Element: Thunder≻/≺Element: Water≻/≺Element: Light≻/≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Air≻≺Element: Thunder≻≺Element: Light≻/≺Element: Ice≻≺Element: Earth≻≺Element: Water≻≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Ice≻≺Element: Air≻≺Element: Earth≻≺Element: Thunder≻≺Element: Water≻≺Element: Light≻≺Element: Dark≻].
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2683
5102;index;DialogTableEntry;#VALEUR!
"Objective: ≺Singular/Plural Choice (Parameter 0)≻[Monster/Monsters] of the doll family: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Weather/Day: ≺Multiple Choice (Parameter 5)≻[≺BAD CHAR: EF≻≺Possible Special Code: 1F≻/≺Element: Ice≻/≺Element: Air≻/≺Element: Earth≻/≺Element: Thunder≻/≺Element: Water≻/≺Element: Light≻/≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Air≻≺Element: Thunder≻≺Element: Light≻/≺Element: Ice≻≺Element: Earth≻≺Element: Water≻≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Ice≻≺Element: Air≻≺Element: Earth≻≺Element: Thunder≻≺Element: Water≻≺Element: Light≻≺Element: Dark≻].
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2684
5103;index;DialogTableEntry;#VALEUR!
"Objective: ≺Singular/Plural Choice (Parameter 0)≻[Monster/Monsters] of the magic pot family: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Weather/Day: ≺Multiple Choice (Parameter 5)≻[≺BAD CHAR: EF≻≺Possible Special Code: 1F≻/≺Element: Ice≻/≺Element: Air≻/≺Element: Earth≻/≺Element: Thunder≻/≺Element: Water≻/≺Element: Light≻/≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Air≻≺Element: Thunder≻≺Element: Light≻/≺Element: Ice≻≺Element: Earth≻≺Element: Water≻≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Ice≻≺Element: Air≻≺Element: Earth≻≺Element: Thunder≻≺Element: Water≻≺Element: Light≻≺Element: Dark≻].
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2685
5104;index;DialogTableEntry;#VALEUR!
"Objective: ≺Singular/Plural Choice (Parameter 0)≻[Monster/Monsters] of the crawler family: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Attack: ≺Multiple Choice (Parameter 6)≻[Fire/Ice/Wind/Earth/Thunder/Water/Light/Darkness] damage of ≺Numeric Parameter 5≻ ≺Singular/Plural Choice (Parameter 5)≻[point/points] or greater.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2687
5105;index;DialogTableEntry;#VALEUR!
"Objective: ≺Singular/Plural Choice (Parameter 0)≻[Monster/Monsters] of the raptor family: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Attack: ≺Multiple Choice (Parameter 6)≻[Fire/Ice/Wind/Earth/Thunder/Water/Light/Darkness] damage of ≺Numeric Parameter 5≻ ≺Singular/Plural Choice (Parameter 5)≻[point/points] or greater.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2687
5106;index;DialogTableEntry;#VALEUR!
"Objective: ≺Singular/Plural Choice (Parameter 0)≻[Monster/Monsters] of the crab family: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Monster's status: A ≺Multiple Choice (Parameter 5)≻[fire/ice/wind/earth/thunder/water/light/darkness]-based status ailment.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2688
5107;index;DialogTableEntry;#VALEUR!
"Objective: ≺Singular/Plural Choice (Parameter 0)≻[Monster/Monsters] of the opo-opo family: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Monster's status: A ≺Multiple Choice (Parameter 5)≻[fire/ice/wind/earth/thunder/water/light/darkness]-based status ailment.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2689
5108;index;DialogTableEntry;#VALEUR!
"Objective: ≺Singular/Plural Choice (Parameter 0)≻[Monster/Monsters] of the slime family: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Avatar: ≺Multiple Choice (Parameter 5)≻[Carbuncle/Fenrir/Ifrit/Titan/Leviathan/Garuda/Shiva/Ramuh/Diabolos].
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2690
5109;index;DialogTableEntry;#VALEUR!
"Objective: ≺Singular/Plural Choice (Parameter 0)≻[Monster/Monsters] of the raptor family: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Avatar: ≺Multiple Choice (Parameter 5)≻[Carbuncle/Fenrir/Ifrit/Titan/Leviathan/Garuda/Shiva/Ramuh/Diabolos].
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2692
5110;index;DialogTableEntry;#VALEUR!
"Objective: Trigger the additional effect of the ≺Possible Special Code: 01≻≺Possible Special Code: 05≻#ｅ≺BAD CHAR: 80≻≺BAD CHAR: 80≻ / Times: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Enemy: Monsters of the coeurl family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2692
5111;index;DialogTableEntry;#VALEUR!
"Objective: Trigger the additional effect of the ≺Possible Special Code: 01≻≺Possible Special Code: 05≻#ｅ≺BAD CHAR: 80≻≺BAD CHAR: 80≻ / Times: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Enemy: Monsters of the sheep family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2693
5112;index;DialogTableEntry;#VALEUR!
"Objective: Trigger the additional effect of the ≺Possible Special Code: 01≻≺Possible Special Code: 05≻#ｅ≺BAD CHAR: 80≻≺BAD CHAR: 80≻ / Times: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Enemy: Monsters of the beetle family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2694
5113;index;DialogTableEntry;#VALEUR!
"Objective: Trigger the additional effect of the ≺Possible Special Code: 01≻≺Possible Special Code: 05≻#ｅ≺BAD CHAR: 80≻≺BAD CHAR: 80≻ / Times: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Enemy: Monsters of the opo-opo family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2695
5114;index;DialogTableEntry;#VALEUR!
"Objective: Trigger the additional effect of the ≺Possible Special Code: 01≻≺Possible Special Code: 05≻#ｅ≺BAD CHAR: 80≻≺BAD CHAR: 80≻ / Times: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Enemy: Monsters of the lizard family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2697
5115;index;DialogTableEntry;#VALEUR!
"Objective: Trigger the additional effect of the ≺Possible Special Code: 01≻≺Possible Special Code: 05≻#ｅ≺BAD CHAR: 80≻≺BAD CHAR: 80≻ / Times: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻.
Enemy: Monsters of the dhalmel family.
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2697
5116;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 2≻ / ≺Numeric Parameter 0≻ ≺Possible Special Code: 01≻≺Speaker Name≻)≺BAD CHAR: 8280≻≺BAD CHAR: 80≻≺BAD CHAR: 80≻ｅ≺BAD CHAR: 80≻≺BAD CHAR: 80≻.
Area: Grauberg (S).≺Prompt≻
";text;DialogTableEntry;2698
5117;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻ elemental-type creature≺Singular/Plural Choice (Parameter 0)≻[/s].
Weather/Day: ≺Multiple Choice (Parameter 5)≻[≺BAD CHAR: EF≻≺Possible Special Code: 1F≻/≺Element: Ice≻/≺Element: Air≻/≺Element: Earth≻/≺Element: Thunder≻/≺Element: Water≻/≺Element: Light≻/≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Air≻≺Element: Thunder≻≺Element: Light≻/≺Element: Ice≻≺Element: Earth≻≺Element: Water≻≺Element: Dark≻/≺BAD CHAR: EF≻≺Possible Special Code: 1F≻≺Element: Ice≻≺Element: Air≻≺Element: Earth≻≺Element: Thunder≻≺Element: Water≻≺Element: Light≻≺Element: Dark≻].
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2699
5118;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻ plantoid-type creature≺Singular/Plural Choice (Parameter 0)≻[/s].
Weapon Skill: Mercy Stroke
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2700
5119;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻ bird-type creature≺Singular/Plural Choice (Parameter 0)≻[/s].
Weapon Skill: Mercy Stroke
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2702
5120;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻ aquan-type creature≺Singular/Plural Choice (Parameter 0)≻[/s].
Weapon Skill: Mandalic Stab
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2702
5121;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻ dragon-type creature≺Singular/Plural Choice (Parameter 0)≻[/s].
Weapon Skill: Mandalic Stab
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2703
5122;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻ beast-type creature≺Singular/Plural Choice (Parameter 0)≻[/s].
Weapon Skill: Mordant Rime
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2704
5123;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻ amorph-type creature≺Singular/Plural Choice (Parameter 0)≻[/s].
Weapon Skill: Mordant Rime
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2705
5124;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻ bird-type creature≺Singular/Plural Choice (Parameter 0)≻[/s].
Weapon Skill: Pyrrhic Kleos
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2707
5125;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻ arcana-type creature≺Singular/Plural Choice (Parameter 0)≻[/s].
Weapon Skill: Pyrrhic Kleos
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2707
5126;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻ beast-type creature≺Singular/Plural Choice (Parameter 0)≻[/s].
Weapon Skill: Final Heaven
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2708
5127;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻ amorph-type creature≺Singular/Plural Choice (Parameter 0)≻[/s].
Weapon Skill: Final Heaven
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2709
5128;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻ lizard-type creature≺Singular/Plural Choice (Parameter 0)≻[/s].
Weapon Skill: Ascetic's Fury
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2710
5129;index;DialogTableEntry;#VALEUR!
"Objective: ≺Numeric Parameter 2≻/≺Numeric Parameter 0≻ dragon-type creature≺Singular/Plural Choice (Parameter 0)≻[/s].
Weapon Skill: Ascetic's Fury
Equipment: Target item must be equipped.≺Prompt≻
";text;DialogTableEntry;2712
5130;index;DialogTableEntry;#VALEUR!
